time,temp,hum,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:45,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:46,0,0,,
4/25/23 18:47,0,0,,
4/25/23 18:47,0,0,,
4/25/23 18:47,0,0,,
4/25/23 18:47,0,0,,
4/25/23 18:47,0,0,,
4/25/23 18:53,28.93,24.0518,,
4/25/23 18:53,28.93,24.0527,,
4/25/23 18:53,28.93,24.1416,,
4/25/23 18:53,28.92,24.085,,
4/25/23 18:53,28.91,23.916,,
4/25/23 18:53,28.92,23.9277,,
4/25/23 18:53,28.92,23.8818,,
4/25/23 18:53,28.91,23.916,,
4/25/23 18:53,28.9,23.9258,,
4/25/23 18:53,28.86,23.6094,,
4/25/23 18:53,28.84,23.54,,
4/25/23 18:53,28.82,23.54,,
4/25/23 18:53,28.82,23.708,,
4/25/23 18:53,28.81,23.7188,,
4/25/23 18:53,28.81,23.7422,,
4/25/23 18:53,28.81,23.7754,,
4/25/23 18:53,28.8,23.7295,,
4/25/23 18:53,28.8,23.7412,,
4/25/23 18:54,28.79,23.5264,,
4/25/23 18:54,28.78,23.4697,,
4/25/23 18:54,28.78,23.4697,,
4/25/23 18:54,28.79,23.5938,,
4/25/23 18:54,28.8,23.7412,,
4/25/23 18:54,28.79,"23.7861
",,
4/25/23 18:54,28.8,23.876,,
4/25/23 18:54,28.8,23.9326,,
4/25/23 18:54,28.8,23.9434,,
4/25/23 18:54,28.79,23.9883,,
4/25/23 18:54,28.79,23.9775,,
4/25/23 18:54,28.8,23.9658,,
4/25/23 18:54,28.79,23.9648,,
4/25/23 18:54,28.78,23.8525,,
4/25/23 18:54,28.78,23.875,,
4/25/23 18:54,28.77,23.8857,,
4/25/23 18:54,28.78,23.7627,,
4/25/23 18:54,28.77,23.8975,,
4/25/23 18:54,28.78,24.0547,,
4/25/23 18:54,28.77,23.9648,,
4/25/23 18:55,28.77,23.9082,,
4/25/23 18:55,28.75,23.8281,,
4/25/23 18:55,28.76,23.8516,,
4/25/23 18:55,28.75,23.0967,,
4/25/23 18:55,28.75,23.5244,,
4/25/23 18:55,28.74,23.6699,,
4/25/23 18:59,28.67,24.3643,,
4/25/23 19:03,28.6,23.3594,,
4/25/23 19:04,28.48,"22.6777
A17",,
4/25/23 19:05,28.35,"22.7051
A17",,
4/25/23 19:06,28.28,"23.2305
A17",,
4/25/23 19:07,28.23,"22.9697
A17",,
4/25/23 19:09,28.25,23.375,,
4/25/23 19:11,28.12,,,
4/25/23 19:12,28.15,"23.7627
",,
4/25/23 19:13,28.03,"23.2402
",,
4/25/23 19:14,28.01,"24.1035
",,
4/25/23 19:15,27.98,"23.7988
",,
4/25/23 19:16,27.98,"25.6641
",,
4/25/23 19:17,28.01,"23.6318
",,
4/25/23 19:18,27.96,"23.0791
",,
4/25/23 19:19,26.31,"23.1182
A17",,
4/25/23 19:21,28.21,"30.1680
",,
4/25/23 19:22,28.42,"28.7109
",,
4/25/23 19:23,28.55,"30.1680
",,
4/25/23 19:24,28.73,"30.5840
",,
4/25/23 19:25,28.79,"30.6104
",,
4/25/23 19:26,28.92,"32.0234
",,
4/25/23 19:27,29.04,"34.2334
",,
4/25/23 19:28,29.14,"34.2520
",,
4/25/23 19:29,29.24,"33.6426
",,
4/25/23 19:30,29.27,"31.7451
",,
4/25/23 19:31,29.3,"24.7920
",,
4/25/23 19:32,29.01,"27.0957
",,
4/25/23 19:33,28.99,"26.7109
",,
4/25/23 19:34,28.95,"27.3721
",,
4/25/23 19:35,28.99,"27.0596
",,
4/25/23 19:36,29.01,"27.3311
",,
4/25/23 19:37,29.03,"26.3984
",,
4/25/23 19:38,29,"27.0049
",,
4/25/23 19:39,28.88,"27.8066
",,
4/25/23 19:40,29,"27.4316
",,
4/25/23 19:41,29.18,"26.7451
",,
4/25/23 19:42,29.15,"26.4951
",,
4/25/23 19:43,29.25,"25.6680
",,
4/25/23 19:44,29.34,"26.0332
",,
4/25/23 19:45,29.28,"25.9736
",,
4/25/23 19:46,29.11,"23.4082
",,
4/25/23 19:47,29.25,"27.1094
",,
4/25/23 19:48,29.32,"28.9365
",,
4/25/23 19:49,29.59,"27.4668
",,
4/25/23 19:50,29.63,"26.2305
",,
4/25/23 19:51,29.48,"27.7646
",,
4/25/23 19:52,29.45,"28.2588
",,
4/25/23 19:53,29.43,"26.4219
",,
4/25/23 19:54,29.47,"26.3906
",,
4/25/23 19:55,29.57,"27.0947
",,
4/25/23 19:56,29.96,"26.3623
",,
4/25/23 19:57,29.73,"27.8486
",,
4/25/23 19:58,29.61,"27.6035
",,
4/25/23 19:59,29.66,"27.1563
",,
4/25/23 20:00,29.68,"26.4248
",,
4/25/23 20:01,29.72,"26.6875
",,
4/25/23 20:02,29.61,"28.6855
",,
4/25/23 20:03,29.47,"26.1416
",,
4/25/23 20:04,29.34,"26.7881
",,
4/25/23 20:05,29.46,"26.1641
",,
4/25/23 20:06,29.47,"25.5000
",,
4/25/23 20:07,29.26,"25.6904
",,
4/25/23 20:08,29.32,"24.9512
",,
4/25/23 20:09,29.24,"25.0488
",,
4/25/23 20:15,29.53,28.8945,,
4/25/23 20:16,29.56,28.333,,
4/25/23 20:17,29.52,27.2607,,
4/25/23 20:20,29.6,27.1533,,
4/25/23 20:22,29.54,"27.8477
",,
4/25/23 20:23,29.73,"27.1494
",,
4/25/23 20:24,29.88,"26.6846
",,
4/25/23 20:25,29.78,"26.9043
",,
4/25/23 20:26,30.05,26.7285,,
4/25/23 20:28,29.96,26.9824,,
4/25/23 20:30,29.77,"26.3174
",,
4/25/23 20:31,29.94,"27.4668
",,
4/25/23 20:32,30,"28.6758
",,
4/25/23 20:33,30.06,"28.2627
",,
4/25/23 20:34,30.02,29.5,,
4/25/23 20:37,30.08,28.8496,,
4/27/23 19:05,29.52,22.8086,,
4/27/23 19:06,29.29,23.541,,
4/27/23 19:07,28.5,24.0283,,
4/27/23 19:08,28.76,23.6152,,
4/27/23 19:09,28.95,23.7598,,
4/27/23 19:10,29,24.9004,,
4/27/23 19:11,28.74,24.1426,,
4/27/23 19:12,28.69,24.1064,,
4/27/23 19:13,28.33,24.9639,,
4/27/23 19:14,28.49,24.7363,,
